Object ID,Launch Date,Mass (kg),Dimensions (m),Orbital Altitude (km),Orbital Inclination (degrees),Orbital Eccentricity,Velocity (km/s),Material Type,Collision Probability,Decay Date,Operational Status,Risk Factor,Region of Orbit
D4227,2017-05-24,3774.21,0.3x0.9x2.9,23512.05,109.75,0.0635,5.4,Composite,0.0271,2049-11-17,Fragmented,Low,MEO
D4228,1978-09-17,3774.16,0.6x3.7x1.5,11857.86,53.33,0.0182,7.84,Steel,0.0532,2012-10-12,Active,Medium,MEO
D4229,1996-07-25,9486.49,4.8x3.9x0.7,8365.32,123.73,0.0877,5.48,Aluminum,0.0342,1980-07-29,Inactive,High,MEO
D4230,1998-11-06,7371.81,3.6x1.4x2.0,26850.61,73.3,0.0348,2.81,Polymer,0.0852,2013-02-19,Active,Low,MEO
D4231,2007-03-06,9992.9,2.9x3.6x2.5,33417.21,51.28,0.0117,3.96,Composite,0.0975,1963-10-16,Inactive,Low,MEO
D4232,1995-04-02,1070.15,0.8x1.0x1.8,35707.46,22.39,0.0686,2.14,Polymer,0.035,,Fragmented,Medium,MEO
D4233,1963-05-10,3284.42,4.1x2.4x3.3,17840.28,165.82,0.0928,4.96,Steel,0.0592,1979-06-14,Active,High,MEO
D4234,1982-07-25,4758.34,3.4x3.0x0.7,29653.51,117.51,0.0462,2.78,Aluminum,0.0409,2023-10-11,Active,Low,MEO
D4235,1989-11-04,5442.39,2.9x4.2x1.6,16586.48,125.8,0.011,5.79,Polymer,0.0385,2008-11-21,Fragmented,Low,MEO
D4236,1960-08-05,7066.98,0.4x4.5x0.6,16394.41,94.81,0.0519,6.93,Steel,0.0855,2009-08-26,Inactive,Low,MEO
D4237,1975-06-13,2468.15,1.0x2.1x4.7,12265.92,16.07,0.0439,2.2,Titanium,0.0669,2017-10-16,Fragmented,Low,MEO
D4238,1961-09-15,1814.29,2.0x3.2x3.9,7972.31,49.76,0.0566,7.9,Polymer,0.0131,2051-03-23,Inactive,Low,MEO
D4239,2021-04-29,2450.76,1.6x2.2x4.0,29343.73,44.33,0.0976,6.41,Titanium,0.0392,2018-10-23,Fragmented,Low,MEO
D4240,1988-03-01,6035.17,0.8x4.1x3.6,14021.29,105.31,0.0199,6.83,Aluminum,0.003,,Fragmented,Medium,MEO
D4241,1991-04-04,4626.64,2.1x2.4x0.7,33714.55,15.58,0.0954,5.01,Titanium,0.0494,2020-11-29,Inactive,Low,MEO
D4242,1982-01-24,6072.08,4.0x3.3x0.2,38051.62,176.72,0.0961,4.53,Composite,0.0775,1965-09-29,Fragmented,High,GEO
D4243,1969-06-20,5751.43,2.8x4.5x4.3,31631.97,136.45,0.0898,6.19,Composite,0.042,2036-08-20,Inactive,High,MEO
D4244,1992-07-02,8430.18,4.2x0.2x1.5,35064.18,169.35,0.0825,7.14,Titanium,0.0114,1995-01-11,Fragmented,Low,MEO
D4245,2020-12-02,3590.62,0.1x3.7x3.1,31971.7,159.01,0.0769,2.4,Composite,0.0627,2047-08-02,Active,Low,MEO
D4246,2004-10-21,2738.16,4.4x1.5x3.1,6929.71,132.51,0.0413,6.24,Polymer,0.0057,2003-02-09,Inactive,High,MEO
D4247,1963-03-23,5426.47,0.5x0.7x2.3,21956.56,146.64,0.0223,3.99,Steel,0.041,1972-10-01,Active,Low,MEO
D4248,1972-10-28,9585.96,3.9x4.1x3.5,34494.91,9.83,0.0732,5.92,Steel,0.0607,2028-10-23,Fragmented,High,MEO
D4249,2020-05-04,8868.68,4.5x1.1x3.4,14286.22,42.72,0.0688,4.78,Aluminum,0.0367,1987-09-11,Active,Low,MEO
D4250,1993-02-13,3893.06,1.4x5.0x0.7,24349.17,141.65,0.0564,5.26,Titanium,0.0665,2049-05-08,Inactive,Low,MEO
D4251,2015-01-26,9799.53,1.3x3.1x4.7,19461.17,157.08,0.0075,4.91,Steel,0.0296,,Fragmented,High,MEO
D4252,1970-08-03,1436.44,1.9x3.5x1.0,10921.08,33.18,0.0297,7.4,Titanium,0.0385,2052-02-02,Active,Medium,MEO
D4253,2019-06-18,9464.86,3.7x0.8x4.0,39459.57,160.72,0.0861,2.72,Composite,0.0174,1989-08-03,Active,Low,GEO
D4254,1961-08-13,4271.0,3.3x3.7x1.6,12529.57,37.2,0.0088,7.44,Composite,0.0268,2010-02-16,Inactive,Low,MEO
D4255,1975-06-08,7007.37,1.8x2.9x3.2,4085.97,157.04,0.0325,6.21,Polymer,0.0533,,Fragmented,Medium,MEO
D4256,2004-03-29,3447.03,0.2x3.1x0.3,39177.94,27.34,0.0633,2.98,Steel,0.0269,1994-11-04,Fragmented,Medium,GEO
D4257,1995-07-05,6817.01,3.0x1.5x1.0,5125.6,169.94,0.0638,4.61,Titanium,0.0953,2007-01-09,Inactive,Medium,MEO
D4258,2001-11-25,6238.16,2.9x4.1x0.8,34183.59,155.42,0.0092,5.07,Titanium,0.0843,1969-07-05,Active,Low,MEO
D4259,1985-04-03,9249.71,1.8x4.8x1.9,9394.51,63.03,0.0792,5.5,Aluminum,0.0272,1965-05-30,Fragmented,Low,MEO
D4260,1962-07-28,8936.14,4.5x0.3x1.6,35132.42,83.13,0.0733,2.6,Steel,0.0467,1985-12-06,Active,Medium,MEO
D4261,2019-09-17,889.39,1.7x3.4x2.9,37921.78,62.34,0.008,3.43,Titanium,0.0637,2005-03-11,Inactive,High,GEO
D4262,2003-06-26,9257.9,2.6x3.7x2.9,11131.28,1.16,0.0155,7.99,Titanium,0.0977,2029-11-24,Active,High,MEO
D4263,1983-05-25,5822.11,2.3x3.5x3.4,22346.72,172.7,0.0365,3.86,Steel,0.0249,2006-02-02,Active,Low,MEO
D4264,1989-06-28,8878.79,2.0x1.2x2.7,13101.66,138.59,0.0222,4.53,Steel,0.0276,1986-02-17,Fragmented,Low,MEO
D4265,1971-11-22,2640.77,2.1x0.7x3.2,26614.53,43.13,0.078,5.83,Titanium,0.0149,2019-11-14,Active,High,MEO
D4266,1991-10-17,4726.8,5.0x2.8x0.5,28610.57,151.76,0.0184,4.0,Polymer,0.0377,1980-10-06,Inactive,Low,MEO
D4267,1971-02-12,4956.48,4.6x2.4x4.9,35052.52,160.13,0.0042,6.27,Polymer,0.0698,1966-05-06,Fragmented,Medium,MEO
D4268,1993-02-23,3851.31,4.4x3.7x4.7,10706.45,21.98,0.0713,6.42,Titanium,0.0576,1983-12-20,Active,Low,MEO
D4269,1997-11-30,3383.7,4.8x3.0x1.4,11905.8,21.38,0.0476,7.89,Aluminum,0.0898,1988-01-16,Fragmented,Medium,MEO
D4270,1962-05-18,5701.38,0.8x0.5x4.0,2407.1,132.67,0.0447,2.75,Steel,0.0921,2014-01-18,Active,Low,MEO
D4271,1976-04-10,8406.22,3.8x2.2x1.2,252.71,47.84,0.0728,4.78,Aluminum,0.041,2043-05-28,Fragmented,High,LEO
D4272,1966-08-13,454.89,1.5x4.3x0.3,9047.0,171.44,0.0408,7.54,Aluminum,0.0703,,Fragmented,Low,MEO
D4273,1994-08-28,4451.78,0.8x3.4x4.2,12802.17,45.78,0.0408,3.98,Polymer,0.0003,1981-06-16,Inactive,Low,MEO
D4274,2003-09-25,6631.86,2.3x1.2x3.4,19291.49,20.15,0.0573,6.64,Titanium,0.068,1985-05-01,Active,High,MEO
D4275,1969-04-29,4233.48,1.8x4.2x2.9,21442.29,67.09,0.0321,6.89,Titanium,0.0833,1989-08-16,Active,High,MEO
D4276,1996-12-08,1921.67,2.5x1.6x4.1,19531.53,105.68,0.051,7.12,Aluminum,0.0409,1992-10-22,Active,Medium,MEO
D4277,2016-11-18,814.8,3.7x1.7x0.2,30350.84,79.54,0.0996,5.68,Titanium,0.0889,1988-06-03,Active,High,MEO
D4278,1994-02-06,1469.8,0.1x1.4x2.7,35255.83,59.02,0.0694,6.88,Aluminum,0.045,,Active,Medium,MEO
D4279,1960-01-15,6552.73,2.7x3.9x3.6,34416.29,5.0,0.0457,3.61,Aluminum,0.0476,1978-08-28,Active,Medium,MEO
D4280,1964-02-01,5924.92,4.1x3.0x3.5,39723.04,121.86,0.0993,3.61,Composite,0.0143,2016-06-26,Fragmented,Low,GEO
D4281,1988-02-27,9760.03,3.0x0.3x3.5,26901.34,140.69,0.0441,7.41,Titanium,0.0832,2003-09-05,Inactive,High,MEO
D4282,2001-03-21,607.61,3.2x1.2x4.6,39943.62,165.76,0.0896,2.25,Composite,0.0088,1962-12-16,Active,Low,GEO
D4283,1990-11-12,3940.71,2.0x1.8x2.9,35112.78,52.71,0.0748,3.41,Composite,0.0107,,Inactive,Low,MEO
D4284,2018-10-17,2435.39,2.2x4.1x3.5,8476.26,32.19,0.0525,7.54,Titanium,0.0449,,Active,High,MEO
D4285,2013-09-05,5218.11,3.3x3.9x2.5,17441.2,140.09,0.0737,5.14,Composite,0.09,2004-07-13,Inactive,High,MEO
D4286,2002-05-10,6334.37,4.1x4.3x1.0,22661.32,1.04,0.0364,4.58,Titanium,0.016,2027-12-17,Fragmented,Low,MEO
D4287,2001-12-26,4889.19,3.7x1.9x1.0,11464.47,146.11,0.0249,7.67,Titanium,0.0548,2003-02-24,Inactive,Medium,MEO
D4288,1995-09-17,9805.45,0.5x4.5x3.4,16115.82,97.93,0.0102,7.77,Steel,0.0825,2023-05-11,Active,Medium,MEO
D4289,1995-12-09,4264.38,2.9x4.7x1.7,27880.78,106.5,0.0053,5.63,Composite,0.0105,,Inactive,High,MEO
D4290,1967-07-23,7528.71,2.5x4.6x3.2,12467.53,38.33,0.0472,4.18,Steel,0.004,1960-04-29,Inactive,High,MEO
D4291,2010-01-20,6741.18,1.5x4.8x2.4,32022.84,49.72,0.0281,2.03,Polymer,0.0014,2029-04-22,Inactive,High,MEO
D4292,2012-06-28,7262.25,2.4x3.2x3.4,38661.13,7.09,0.0925,3.0,Aluminum,0.0105,2016-05-28,Inactive,High,GEO
D4293,2002-12-08,1579.97,3.4x4.3x2.8,29600.58,93.04,0.0111,3.12,Aluminum,0.0301,1982-12-22,Inactive,Medium,MEO
D4294,1989-07-18,9011.73,1.8x0.2x0.9,26189.53,46.34,0.043,4.98,Titanium,0.0832,2021-12-26,Fragmented,Low,MEO
D4295,1960-11-03,6144.39,4.9x4.9x4.9,30395.26,81.39,0.0867,6.47,Steel,0.0416,,Fragmented,Low,MEO
D4296,1976-05-10,2153.63,4.2x1.3x5.0,6148.5,95.28,0.0413,6.88,Steel,0.0825,2032-08-15,Inactive,Medium,MEO
D4297,1985-09-27,9959.7,0.5x4.3x1.8,31008.04,77.05,0.0182,6.85,Composite,0.0562,2048-06-29,Active,High,MEO
D4298,1991-07-28,729.77,1.0x4.3x0.6,6934.38,179.35,0.0012,3.44,Steel,0.0247,1977-02-17,Fragmented,Low,MEO
D4299,1987-04-21,5640.99,1.1x1.2x2.2,13030.8,49.93,0.046,5.75,Polymer,0.0097,2048-12-07,Fragmented,Medium,MEO
D4300,2010-10-03,9657.28,3.8x1.1x4.0,33461.76,58.89,0.0243,3.53,Titanium,0.0523,2010-03-15,Inactive,Medium,MEO
D4301,1994-01-29,6350.97,0.7x2.8x0.7,18499.96,88.26,0.0,7.5,Polymer,0.0659,1976-11-03,Inactive,Low,MEO
D4302,1971-10-19,6483.76,4.3x3.5x0.3,15613.12,19.97,0.0069,5.43,Aluminum,0.0761,1988-03-20,Inactive,Low,MEO
D4303,2011-05-29,9992.18,2.8x2.4x1.0,328.9,2.91,0.0064,3.17,Polymer,0.0153,2012-01-09,Active,High,LEO
D4304,1961-08-19,3296.41,1.7x2.4x4.5,15456.26,19.66,0.0232,2.06,Polymer,0.0763,,Inactive,High,MEO
D4305,1983-06-13,5267.67,3.5x1.0x3.2,39858.35,38.39,0.095,5.39,Steel,0.0525,2010-12-24,Inactive,High,GEO
D4306,1995-12-28,1683.72,3.2x2.7x1.7,16364.14,73.02,0.0593,5.18,Titanium,0.071,,Fragmented,Low,MEO
D4307,2011-01-17,9688.62,3.6x2.7x1.6,7480.38,21.48,0.0679,4.16,Titanium,0.0451,2026-05-26,Inactive,Medium,MEO
D4308,1961-04-18,7639.08,3.5x2.7x1.5,27457.31,19.84,0.0335,2.65,Titanium,0.048,2034-08-29,Fragmented,Medium,MEO
D4309,2003-09-26,8434.05,3.7x0.4x3.4,9968.37,101.37,0.0826,7.94,Aluminum,0.0069,1996-07-24,Fragmented,High,MEO
D4310,2018-11-07,3089.26,0.4x1.1x2.5,21436.22,12.37,0.0669,3.17,Titanium,0.0107,2044-03-13,Fragmented,High,MEO
D4311,2023-10-10,3026.19,3.8x0.7x2.7,2892.28,50.7,0.0542,5.6,Steel,0.0534,,Inactive,High,MEO
D4312,2021-01-06,9710.51,0.5x2.7x2.7,35176.18,1.08,0.0101,7.34,Aluminum,0.001,2044-06-20,Fragmented,Medium,MEO
D4313,2017-01-31,5376.98,2.2x4.9x2.5,522.08,95.68,0.0406,7.49,Steel,0.0453,1967-05-10,Active,High,LEO
D4314,1963-05-03,2043.41,3.8x3.3x0.7,25527.45,113.82,0.0383,6.24,Aluminum,0.0422,2001-04-19,Active,Medium,MEO
D4315,1978-04-15,3005.83,1.4x2.2x2.0,15499.16,17.21,0.0718,3.37,Polymer,0.0843,1961-07-23,Fragmented,Low,MEO
D4316,2007-08-04,612.54,0.4x3.3x4.2,12068.23,171.4,0.0357,7.21,Aluminum,0.001,,Fragmented,Low,MEO
D4317,2017-05-20,8337.9,0.6x1.6x3.2,20767.74,109.2,0.0437,7.3,Aluminum,0.0242,2036-09-21,Active,Medium,MEO
D4318,2003-04-27,5400.07,3.6x4.9x2.1,1298.44,23.2,0.0585,5.17,Steel,0.0503,2048-05-03,Inactive,High,LEO
D4319,1988-01-07,3790.3,2.0x0.3x0.7,393.26,87.54,0.0532,4.21,Steel,0.0097,2014-03-02,Active,Low,LEO
D4320,2006-09-11,7091.66,1.9x4.8x2.0,8185.24,178.58,0.0865,6.63,Composite,0.0812,2000-08-09,Active,High,MEO
D4321,2005-06-07,484.88,4.1x3.5x3.7,22114.94,152.36,0.0979,2.42,Steel,0.0161,,Fragmented,Low,MEO
D4322,2009-05-19,2650.47,0.9x1.2x5.0,23258.92,58.07,0.0058,2.08,Composite,0.0195,2007-11-04,Fragmented,Medium,MEO
D4323,2016-01-27,7720.75,2.4x1.5x2.4,26037.05,15.87,0.0254,2.95,Aluminum,0.0262,,Fragmented,Medium,MEO
D4324,1960-01-11,7998.04,2.4x4.7x3.9,23338.05,97.52,0.0696,2.94,Titanium,0.0776,,Fragmented,High,MEO
D4325,2017-10-12,370.92,0.6x0.3x2.2,32950.56,82.66,0.0651,4.06,Aluminum,0.0562,1988-03-30,Active,Medium,MEO
D4326,2009-03-09,7013.4,4.2x3.9x3.6,30978.22,6.54,0.0655,7.27,Steel,0.0166,2007-03-16,Active,Medium,MEO
D4327,1971-06-01,3577.6,4.7x3.4x1.0,1936.73,101.34,0.0453,2.53,Aluminum,0.0956,,Fragmented,Low,LEO
D4328,1987-03-24,7824.15,4.6x2.5x3.9,9835.46,139.27,0.0489,4.18,Titanium,0.0182,1992-12-28,Inactive,High,MEO
D4329,1993-01-17,4749.07,4.6x3.3x3.1,17294.27,40.54,0.04,3.68,Steel,0.0369,2024-09-16,Inactive,Low,MEO
D4330,2007-12-07,5408.09,3.4x2.2x2.8,16790.95,164.28,0.0459,2.6,Aluminum,0.0669,1971-04-30,Fragmented,Medium,MEO
D4331,1974-10-14,4916.42,3.3x3.4x0.4,16300.42,58.1,0.0014,5.16,Steel,0.041,1997-02-11,Inactive,Low,MEO
D4332,1987-04-14,5512.15,4.2x3.1x1.8,7728.27,58.04,0.0791,5.43,Steel,0.004,2021-07-08,Fragmented,Medium,MEO
D4333,1969-01-05,4079.74,2.9x1.2x3.9,13729.87,67.43,0.0999,4.25,Steel,0.0182,,Active,Medium,MEO
D4334,1982-01-19,2756.6,0.5x4.4x1.5,17131.94,67.64,0.0588,3.6,Polymer,0.0399,,Fragmented,Low,MEO
D4335,2018-10-06,4249.61,4.6x3.6x5.0,6600.44,5.68,0.0107,2.35,Steel,0.0257,,Fragmented,Low,MEO
D4336,1999-05-19,4662.97,1.7x3.2x4.9,6541.57,36.75,0.0241,2.76,Aluminum,0.0392,,Inactive,Medium,MEO
D4337,1983-06-17,1239.22,1.0x2.1x2.2,21373.61,148.74,0.0249,2.72,Polymer,0.0331,2008-10-21,Inactive,Low,MEO
D4338,1993-12-01,7272.44,2.8x0.4x0.5,1373.2,22.84,0.0549,3.41,Polymer,0.0851,1981-04-21,Fragmented,Low,LEO
D4339,2006-06-06,5882.67,0.5x0.1x2.1,22244.42,60.98,0.047,6.2,Steel,0.0901,2047-10-28,Active,High,MEO
D4340,2021-04-27,4844.93,1.9x0.2x1.4,6085.45,46.49,0.0737,2.32,Steel,0.0035,,Inactive,High,MEO
D4341,2008-05-06,8126.67,0.3x3.7x1.7,8265.77,166.99,0.0009,4.82,Titanium,0.0067,1969-08-11,Fragmented,Medium,MEO
D4342,2013-03-23,8881.51,1.7x2.5x1.9,6288.31,88.9,0.0195,5.5,Titanium,0.0384,2026-10-24,Fragmented,High,MEO
D4343,2008-06-02,6651.63,3.9x2.5x1.4,30807.13,22.64,0.0976,3.54,Titanium,0.0795,2013-03-03,Fragmented,Low,MEO
D4344,1962-06-24,3993.96,2.2x1.0x0.3,12714.66,87.65,0.0412,3.49,Aluminum,0.067,1971-05-31,Fragmented,Low,MEO
D4345,1958-04-09,6476.75,0.2x4.5x0.7,32577.68,105.43,0.0891,7.21,Titanium,0.0085,,Active,Low,MEO
D4346,2021-03-23,4442.75,4.9x1.9x0.3,5240.2,3.92,0.0343,5.02,Titanium,0.01,1979-10-25,Active,Low,MEO
D4347,2020-06-01,3994.8,0.7x1.9x2.3,39252.42,114.84,0.0634,6.58,Aluminum,0.0587,2007-12-14,Active,Low,GEO
D4348,2017-08-28,4340.36,4.1x2.8x0.5,38185.94,77.77,0.0742,5.61,Composite,0.0921,1978-06-08,Fragmented,High,GEO
D4349,1971-01-29,5199.43,3.9x2.3x4.9,20581.62,38.11,0.0898,3.83,Polymer,0.0607,,Fragmented,High,MEO
D4350,2023-08-03,5121.17,0.5x1.5x2.9,20200.43,144.76,0.0146,5.46,Polymer,0.0508,1983-05-25,Active,High,MEO
D4351,1999-08-16,5604.57,2.6x1.2x3.7,32193.97,133.44,0.0126,7.82,Aluminum,0.0353,1975-09-23,Inactive,High,MEO
D4352,2023-02-20,9707.29,4.5x3.4x2.9,9098.73,168.64,0.0824,6.45,Composite,0.054,2004-04-03,Fragmented,Low,MEO
D4353,1991-02-18,305.34,3.2x5.0x0.2,29194.37,95.59,0.0257,3.72,Steel,0.0724,2025-10-30,Fragmented,Medium,MEO
D4354,2014-01-01,4094.39,1.1x2.3x0.9,23752.86,115.49,0.0047,5.6,Titanium,0.0945,1981-08-20,Active,Medium,MEO
D4355,1971-11-17,1992.43,0.3x2.1x5.0,38890.59,82.16,0.0365,6.68,Aluminum,0.0697,1961-03-03,Fragmented,High,GEO
D4356,1983-12-27,9251.21,0.3x2.6x0.1,23082.55,50.93,0.0652,2.46,Composite,0.0847,,Inactive,Medium,MEO
D4357,1977-10-13,9039.05,4.4x2.8x1.5,9020.05,24.05,0.0952,7.1,Titanium,0.0938,2020-06-17,Inactive,High,MEO
D4358,1982-08-18,520.85,2.6x3.8x4.3,19252.15,32.53,0.0205,3.75,Aluminum,0.0874,,Inactive,Low,MEO
D4359,2006-05-27,5100.56,1.5x0.5x0.5,1521.23,75.39,0.0943,5.6,Aluminum,0.0822,1993-06-17,Inactive,High,LEO
D4360,1990-01-15,8050.15,3.6x1.6x2.7,35401.64,117.32,0.022,5.62,Steel,0.0149,1999-06-21,Inactive,Medium,MEO
D4361,2021-12-11,8349.76,4.6x3.2x2.7,7964.98,144.47,0.0553,7.27,Polymer,0.034,1966-05-04,Inactive,Low,MEO
D4362,2022-01-11,3946.53,5.0x3.6x1.6,22927.93,152.0,0.0392,2.33,Titanium,0.0833,,Active,High,MEO
D4363,1997-07-22,2968.79,3.1x3.9x4.1,19283.07,17.9,0.0836,3.34,Composite,0.0948,2024-10-05,Fragmented,Medium,MEO
D4364,2008-12-29,4116.11,1.9x3.0x2.7,6739.47,84.55,0.0808,3.29,Aluminum,0.0526,1959-07-31,Inactive,Low,MEO
D4365,1978-01-02,7595.34,0.6x3.8x1.5,18231.52,17.92,0.0619,6.25,Titanium,0.0531,1964-07-10,Fragmented,High,MEO
D4366,2007-09-22,4749.93,5.0x1.6x2.7,34398.73,82.14,0.0669,2.58,Polymer,0.0527,1989-09-11,Fragmented,Medium,MEO
D4367,2002-04-21,8034.18,1.3x2.7x4.5,31165.56,153.66,0.0656,6.31,Steel,0.0285,1990-03-08,Fragmented,Medium,MEO
D4368,1985-12-29,7244.34,2.5x0.3x1.0,27598.43,70.16,0.0811,4.8,Titanium,0.0721,2029-10-29,Fragmented,Low,MEO
D4369,1984-01-04,31.02,4.3x0.9x3.9,29967.3,107.03,0.0905,4.71,Aluminum,0.0429,2029-08-19,Inactive,Medium,MEO
D4370,1975-09-21,2846.57,1.5x0.2x0.7,29010.97,64.49,0.0671,6.75,Titanium,0.0599,2012-09-03,Inactive,Low,MEO
D4371,2020-05-06,1312.26,1.4x4.6x3.7,2352.53,74.95,0.0342,7.57,Titanium,0.0222,1977-11-20,Fragmented,Low,MEO
D4372,1994-01-03,4960.54,2.0x4.1x3.2,13436.36,106.25,0.0359,3.15,Steel,0.0155,1965-05-10,Inactive,Low,MEO
D4373,2023-03-11,118.43,0.5x4.1x1.6,21973.78,148.44,0.0137,2.65,Composite,0.0584,1994-07-12,Inactive,Low,MEO
D4374,1989-10-06,5841.83,3.5x1.6x3.1,22434.43,22.94,0.0874,2.49,Polymer,0.0738,1965-06-17,Inactive,Medium,MEO
D4375,1959-02-25,83.07,0.6x4.5x3.4,7854.73,108.23,0.0652,4.5,Aluminum,0.0122,1961-09-26,Inactive,Low,MEO
D4376,1967-05-27,4224.66,4.7x2.2x4.3,8942.54,116.42,0.0722,4.44,Polymer,0.0315,1986-05-27,Active,Medium,MEO
D4377,1977-12-13,4923.63,1.8x1.3x4.0,1498.71,33.63,0.0081,4.2,Polymer,0.0445,2051-04-23,Active,Medium,LEO
D4378,1994-05-24,5941.54,1.7x0.2x3.5,10135.24,47.72,0.0745,6.86,Polymer,0.0626,1968-02-15,Inactive,Medium,MEO
D4379,1996-07-08,6444.66,4.8x2.7x1.1,13312.54,62.46,0.0121,7.49,Polymer,0.0093,1972-03-10,Fragmented,Low,MEO
D4380,1999-02-15,8940.29,2.9x2.2x1.7,35398.59,8.58,0.0101,7.95,Titanium,0.0557,2005-04-16,Active,High,MEO
D4381,2024-08-15,1746.9,3.8x3.3x3.7,27772.37,19.88,0.0819,6.73,Titanium,0.0041,2023-01-27,Active,Low,MEO
D4382,1985-05-29,5433.34,1.9x1.7x0.8,24368.81,71.42,0.0953,2.1,Steel,0.0301,2038-06-19,Active,Low,MEO
D4383,1963-05-15,4196.78,1.4x0.5x4.1,6327.56,178.83,0.0821,4.76,Polymer,0.0864,2026-08-18,Fragmented,High,MEO
D4384,1999-01-19,6197.99,0.4x1.9x2.6,9052.53,94.94,0.0313,3.14,Composite,0.0664,2051-03-27,Fragmented,High,MEO
D4385,1960-05-18,9376.31,0.5x0.3x2.2,22574.96,28.73,0.0518,2.21,Polymer,0.0714,1970-08-05,Fragmented,High,MEO
D4386,2016-11-22,2325.22,2.3x0.5x1.5,7630.98,149.27,0.0777,5.34,Titanium,0.0477,2008-09-02,Active,Low,MEO
D4387,1998-04-03,5769.14,2.7x4.3x4.7,34505.61,155.18,0.083,5.15,Steel,0.0494,1980-06-27,Active,High,MEO
D4388,1984-10-03,1508.94,0.6x1.3x0.1,39337.39,101.16,0.0149,3.24,Composite,0.0404,1993-07-19,Active,Medium,GEO
D4389,1972-04-24,5963.19,3.3x4.7x0.6,37555.31,135.63,0.018,6.48,Steel,0.0281,,Fragmented,Low,GEO
D4390,2024-08-22,1722.82,4.5x2.4x2.6,33888.73,125.76,0.0048,7.21,Steel,0.0896,,Fragmented,Low,MEO
D4391,1993-06-30,5422.11,1.4x2.3x3.8,19315.74,175.2,0.0636,4.79,Polymer,0.0128,2003-04-28,Inactive,Low,MEO
D4392,2020-08-08,5950.13,3.7x3.1x2.8,25838.94,28.55,0.0353,6.56,Aluminum,0.0544,1981-06-24,Fragmented,High,MEO
D4393,1980-12-05,7724.15,4.1x2.8x1.4,34264.73,165.77,0.0416,4.43,Titanium,0.0644,1993-12-23,Active,Medium,MEO
D4394,1981-07-31,7113.02,1.5x2.1x1.5,31179.75,141.11,0.0793,3.49,Composite,0.0804,,Fragmented,High,MEO
D4395,1968-01-09,4230.06,0.8x3.6x1.5,35988.63,121.07,0.0507,2.76,Titanium,0.0729,1982-06-02,Inactive,Low,GEO
D4396,1982-08-03,3830.98,0.1x2.6x3.3,2469.59,93.16,0.0889,2.78,Polymer,0.0474,1998-12-07,Inactive,Medium,MEO
D4397,1974-08-02,5791.52,1.7x0.4x3.5,31681.09,98.24,0.0749,6.45,Composite,0.0395,2041-12-25,Fragmented,Medium,MEO
D4398,1976-11-15,1452.12,2.3x4.1x0.9,27071.62,119.01,0.0746,6.71,Titanium,0.0393,,Inactive,High,MEO
D4399,1977-03-10,6846.05,5.0x1.6x0.7,32425.99,174.43,0.0883,2.25,Steel,0.0679,2025-04-18,Fragmented,Medium,MEO
D4400,2011-06-04,37.43,4.1x3.2x3.2,19351.79,72.65,0.0197,2.2,Polymer,0.032,2009-09-16,Inactive,Low,MEO
D4401,2012-04-15,5608.68,0.2x2.5x3.3,15999.77,45.67,0.0869,7.56,Titanium,0.0591,1969-10-03,Inactive,Low,MEO
D4402,1977-02-24,8989.58,5.0x1.1x3.6,6534.09,74.19,0.0967,6.98,Polymer,0.0599,1985-09-16,Active,Medium,MEO
D4403,1986-11-19,9714.07,1.1x4.2x3.5,34578.81,53.69,0.0591,6.11,Composite,0.0356,2041-06-28,Inactive,Medium,MEO
D4404,1980-11-03,6048.29,2.6x1.5x0.8,33093.11,24.33,0.0662,5.23,Composite,0.0334,2007-03-03,Fragmented,Low,MEO
D4405,1966-12-03,804.67,3.8x3.2x2.9,21536.19,29.89,0.0197,2.84,Steel,0.0109,1976-05-17,Active,Low,MEO
D4406,1993-03-23,8433.71,5.0x0.7x2.6,16592.63,88.83,0.0211,2.27,Titanium,0.0185,1970-04-13,Inactive,High,MEO
D4407,1983-06-30,1648.04,1.9x1.5x1.4,25066.07,16.0,0.0745,3.78,Aluminum,0.0285,2023-01-29,Fragmented,Medium,MEO
D4408,1977-02-21,6256.87,3.7x1.7x3.6,5461.42,126.79,0.0099,2.91,Polymer,0.0126,2036-04-28,Fragmented,Medium,MEO
D4409,1967-05-19,5326.1,1.9x2.6x3.9,11563.25,48.96,0.04,2.49,Composite,0.0981,,Active,Low,MEO
D4410,1978-10-09,8015.38,0.1x2.9x2.6,17170.74,53.26,0.046,7.91,Composite,0.091,1966-10-02,Active,Low,MEO
D4411,2023-05-28,7541.54,1.6x2.0x3.6,21517.33,140.17,0.0476,2.78,Composite,0.0134,,Active,High,MEO
D4412,2013-11-09,1973.98,2.7x4.9x3.6,14340.1,60.84,0.0993,6.87,Polymer,0.0032,,Inactive,High,MEO
D4413,1990-11-09,9589.35,3.4x1.4x4.5,10138.78,121.13,0.0962,6.79,Titanium,0.0058,2005-09-17,Active,Medium,MEO
D4414,1961-09-14,3359.74,1.5x3.1x4.2,22910.05,108.27,0.0345,2.31,Titanium,0.0775,1963-11-19,Inactive,Medium,MEO
D4415,2023-04-19,5384.54,4.3x4.9x4.8,23693.96,16.42,0.0018,7.95,Composite,0.0689,2041-08-11,Active,High,MEO
